time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.677000,-0.0276,-0.0881,-0.3185,0.332
4.677000,-0.1118,-0.0735,-0.3834,0.406
4.678000,-0.1794,-0.0720,-0.4422,0.483
4.682000,-0.2194,-0.0209,-0.5512,0.594
4.687000,-0.1783,-0.0216,-0.6877,0.711
4.692000,-0.0738,-0.1097,-0.7884,0.799
4.697000,0.0624,-0.1745,-0.8342,0.855
4.701000,0.1458,-0.2953,-0.7487,0.818
4.707000,0.1346,-0.3590,-0.4507,0.592
4.713000,0.0697,-0.4117,0.0415,0.420
4.718000,0.0469,-0.4271,0.4646,0.633
4.722000,0.0573,-0.4185,0.7029,0.820
4.727000,0.0521,-0.4067,0.9465,1.032
4.731000,0.0725,-0.3991,0.9757,1.057
4.737000,0.1178,-0.3745,0.7261,0.825
4.741000,0.1100,-0.3071,0.3752,0.497
4.746000,0.1033,-0.2119,0.1409,0.275
4.751000,0.1715,-0.1009,-0.1324,0.239
4.756000,0.2565,-0.0638,-0.3834,0.466
4.761000,0.2840,-0.0392,-0.4784,0.558
4.766000,0.2682,0.0304,-0.5515,0.614
4.771000,0.2087,0.0960,-0.5226,0.571
4.776000,0.1658,0.1266,-0.3932,0.445
4.781000,0.0360,0.1297,-0.2711,0.303
4.786000,-0.0820,0.1494,-0.1313,0.215
4.791000,-0.0924,0.1800,-0.0670,0.213
4.796000,-0.1096,0.1701,-0.0411,0.206
4.801000,-0.1373,0.1428,-0.0942,0.219
4.806000,-0.0598,0.1257,-0.2216,0.262
4.811000,-0.0434,0.1323,-0.2807,0.313
4.816000,-0.1154,0.1424,-0.2274,0.292
4.820000,-0.1639,0.1320,-0.1815,0.278
4.826000,-0.1708,0.2253,-0.2136,0.354
4.831000,-0.1444,0.2305,-0.1235,0.299
4.836000,-0.1703,0.1916,0.0190,0.257
4.844000,-0.1455,0.1478,0.1567,0.260
4.846000,-0.1207,0.1086,0.1795,0.242
4.851000,-0.1223,0.1408,0.2380,0.302
4.856000,-0.1286,0.1831,0.2427,0.330
4.860000,-0.0938,0.1687,0.2294,0.300
4.865000,-0.0699,0.0647,0.1540,0.181
4.870000,-0.0603,0.1497,0.0824,0.181
4.875000,-0.0156,0.1112,0.1029,0.152
4.880000,0.0353,0.0654,0.1545,0.171
4.885000,0.0448,0.0182,0.1821,0.188
4.890000,0.0283,-0.0187,0.1835,0.187
4.895000,0.0160,-0.0275,0.1873,0.190
4.900000,0.0230,-0.0500,0.1623,0.171
4.904000,-0.0258,0.0478,0.0549,0.077
4.910000,0.0483,0.0551,0.0147,0.075
4.915000,0.0870,-0.0002,0.0403,0.096
4.920000,0.1033,-0.0339,0.0192,0.110
4.925000,0.1121,-0.0689,-0.0556,0.143
4.929000,0.0714,-0.0260,-0.1388,0.158
4.934000,-0.0402,0.0570,-0.0580,0.091
4.939000,-0.0660,0.1463,-0.0658,0.173
4.944000,-0.0563,0.1317,-0.1227,0.189
4.949000,-0.0275,0.0327,-0.0670,0.079
4.954000,0.0001,-0.0205,-0.0521,0.056
4.959000,-0.0097,0.0068,-0.0503,0.052
4.964000,0.0137,0.0258,-0.0724,0.078
4.969000,0.0799,-0.0457,-0.0993,0.135
4.977000,0.1261,-0.1013,-0.1009,0.191
4.980000,0.1549,-0.1067,0.0051,0.188
4.984000,0.1780,-0.0743,0.1098,0.222
4.989000,0.1681,-0.0750,0.1438,0.234
4.994000,0.1229,-0.0714,0.0881,0.167
4.998000,0.0841,-0.0720,0.0301,0.115
5.003000,0.0719,-0.0979,-0.0601,0.136
5.009000,0.0955,-0.0709,-0.1322,0.178
5.013000,0.1058,-0.0664,-0.1397,0.187
5.019000,0.0789,-0.0475,-0.1268,0.157
5.024000,0.0624,-0.0428,-0.1152,0.138
5.028000,0.0635,-0.0366,-0.2040,0.217
5.033000,0.0610,-0.0626,-0.2114,0.229
5.038000,0.0120,-0.0444,-0.1614,0.168
5.043000,-0.0427,-0.0610,-0.0218,0.078
5.048000,-0.0286,-0.0613,0.1189,0.137
5.053000,0.0052,-0.0723,0.1972,0.210
5.060000,0.0347,-0.1489,0.2049,0.256
5.063000,0.0352,-0.1830,0.1551,0.242
5.068000,0.0005,-0.1791,0.0469,0.185
5.073000,0.0059,-0.1692,-0.0420,0.174
5.077000,0.0693,-0.1637,-0.1080,0.208
5.082000,0.0897,-0.1898,-0.0914,0.229
5.087000,0.0930,-0.1556,-0.2122,0.279
5.093000,0.0365,-0.0064,-0.2874,0.290
5.097000,0.0202,0.0233,-0.2459,0.248
5.102000,-0.0171,-0.0513,-0.1572,0.166
5.111000,-0.0201,-0.1241,-0.1263,0.178
5.112000,0.0320,-0.0620,-0.1407,0.157
5.117000,0.0560,-0.0253,-0.1385,0.152
5.122000,0.0559,-0.0006,-0.0472,0.073
5.127000,0.0402,0.0097,-0.0007,0.041
5.132000,-0.0110,0.0503,0.1333,0.143
5.137000,-0.0193,0.0569,0.2174,0.226
5.143000,-0.0028,0.0558,0.2533,0.259
5.147000,0.0148,0.0592,0.2093,0.218
5.151000,-0.0197,0.0601,0.1123,0.129
5.159000,0.0118,0.1122,0.0197,0.115
5.162000,0.0388,0.0892,0.0301,0.102
5.167000,0.0659,0.1069,0.0214,0.127
5.171000,0.0873,0.1021,-0.0157,0.135
5.177000,0.0746,0.0821,-0.0381,0.117
5.181000,0.0470,0.0755,-0.0876,0.125
5.186000,0.0448,0.1024,-0.0762,0.135
5.192000,0.0685,0.1136,-0.0054,0.133
5.196000,0.0881,0.0810,0.0445,0.128
5.201000,0.0849,0.0560,0.0834,0.131
5.206000,0.0647,0.0312,0.1242,0.144
5.211000,0.0124,0.0492,0.1861,0.193
5.216000,-0.0054,0.0680,0.2510,0.260
5.221000,-0.0018,0.0958,0.2571,0.274
5.230000,0.0280,0.1064,0.1859,0.216
5.232000,0.0160,0.0891,0.1486,0.174
5.239000,0.0268,0.0623,0.0950,0.117
5.256000,0.0508,0.0867,0.0347,0.106
5.257000,0.0451,0.1133,-0.0085,0.122
5.258000,0.0738,0.0957,-0.0288,0.124
5.258000,0.0703,0.0593,-0.1142,0.147
5.262000,0.0453,0.0078,-0.1478,0.155
5.265000,0.0405,0.0126,-0.1170,0.124
5.270000,-0.0154,0.0494,0.0013,0.052
5.276000,-0.0251,0.0440,0.0402,0.065
5.280000,-0.0191,0.0641,0.0467,0.082
5.285000,0.0287,0.0680,0.0460,0.087
5.290000,0.0005,0.0180,-0.0212,0.028
5.295000,-0.0165,0.0146,-0.0937,0.096
5.300000,0.0108,0.0157,-0.1312,0.133
5.305000,0.0095,0.0455,-0.1375,0.145
5.312000,0.0111,0.0455,-0.0951,0.106
5.317000,0.0792,-0.0152,-0.0708,0.107
5.320000,0.0957,-0.0669,-0.1096,0.160
5.327000,0.1300,-0.0789,-0.1232,0.196
5.330000,0.0916,-0.1012,-0.1270,0.186
5.335000,0.0320,-0.0873,-0.1155,0.148
5.339000,0.0389,-0.0585,-0.1372,0.154
5.345000,0.0013,-0.0060,-0.0911,0.091
5.350000,-0.0138,0.0204,-0.0798,0.084
5.355000,-0.0562,0.0159,0.0003,0.058
5.360000,-0.0486,-0.0491,0.0963,0.119
5.365000,-0.0697,-0.0961,0.0585,0.132
5.369000,-0.0526,-0.1016,0.0198,0.116
5.376000,-0.0472,-0.1440,-0.0210,0.153
5.380000,-0.0772,-0.0962,-0.0020,0.123
5.384000,-0.0688,-0.0693,0.0179,0.099
5.389000,-0.0838,-0.0977,0.0152,0.130
5.395000,-0.0700,-0.1060,0.0124,0.128
5.400000,-0.1110,-0.0906,-0.0022,0.143
5.404000,-0.1457,-0.0672,-0.0476,0.167
5.411000,-0.0925,-0.0499,-0.0594,0.121
5.414000,-0.0758,-0.0372,-0.0284,0.089
5.418000,-0.0891,-0.0433,-0.0771,0.126
5.423000,-0.0741,-0.0480,-0.0602,0.107
5.428000,-0.0808,-0.0395,-0.0624,0.109
5.433000,-0.0366,-0.0570,-0.0752,0.101
5.439000,-0.0320,-0.0493,-0.1058,0.121
5.443000,-0.0153,-0.0502,-0.1669,0.175
5.448000,0.0173,-0.0630,-0.1516,0.165
5.453000,0.0288,-0.0701,-0.1660,0.183
5.460000,0.0265,-0.0990,-0.1625,0.192
5.463000,0.0674,-0.1180,-0.1602,0.210
5.468000,0.0496,-0.0977,-0.1757,0.207
5.473000,0.0379,-0.0523,-0.1625,0.175
5.479000,0.0025,-0.0142,-0.1281,0.129
5.483000,-0.0219,0.0049,-0.0702,0.074
5.488000,-0.0330,-0.0018,0.0062,0.034
5.495000,-0.0440,0.0133,0.0204,0.050
5.498000,-0.0347,-0.0071,0.0688,0.077
5.503000,-0.0433,-0.0116,0.0302,0.054
5.512000,-0.0802,-0.0218,0.0003,0.083
5.513000,-0.0631,-0.0138,0.0170,0.067
5.518000,-0.0174,-0.0270,0.0145,0.035
5.522000,0.0341,0.0099,0.0323,0.048
5.528000,-0.0240,-0.0296,0.0500,0.063
5.532000,-0.0815,-0.0406,0.1161,0.148
5.537000,-0.1059,-0.0055,0.1627,0.194
5.548000,-0.1164,0.0514,0.1126,0.170
5.549000,-0.0890,0.0683,0.0379,0.118
5.555000,-0.0879,0.0575,0.0529,0.118
5.557000,-0.0378,0.0215,0.0262,0.051
5.563000,0.0095,0.0091,0.0104,0.017
5.567000,0.0227,0.0391,-0.0219,0.050
5.572000,-0.0028,-0.0193,0.0007,0.019
5.577000,-0.0455,-0.0121,0.0101,0.048
5.582000,-0.0130,0.0149,0.0229,0.030
5.586000,-0.0162,0.0391,0.0475,0.064
5.592000,-0.0159,0.0700,0.0387,0.082
5.597000,0.0130,0.0617,0.0429,0.076
5.601000,0.0154,-0.0022,0.0282,0.032
5.606000,0.0363,0.0512,-0.0564,0.084
5.611000,0.0438,0.0954,-0.0739,0.128
5.616000,-0.0071,0.1111,-0.0401,0.118
5.621000,-0.0261,0.1140,0.0231,0.119
5.631000,-0.0218,0.0882,0.0536,0.106
5.632000,-0.0404,0.0542,0.0577,0.089
5.639000,0.0030,-0.0130,0.0606,0.062
5.641000,0.0023,-0.0277,-0.0077,0.029
5.652000,0.0458,-0.0401,-0.1076,0.124
5.654000,0.0207,-0.0489,-0.1460,0.155
5.656000,-0.0024,-0.0528,-0.1651,0.173
5.661000,-0.0234,-0.0424,-0.2326,0.238
5.665000,-0.0154,-0.0675,-0.1701,0.184
5.670000,-0.0288,-0.0732,-0.1722,0.189
5.676000,-0.0364,-0.0727,-0.1636,0.183
